%Infos : 
%Everything is in %.
%-1 : the person has no activity in the given category (ex : -1 for 'possible in' ==> the person does not have a 'possible in').
%The ID '0' corresponds to no one in particular (could be the patient or visitors).



      |                      SHA taken                        |            SHA not taken            |
      |_______________________________________________________|_____________________________________|
  ID  |           sure            |       possible            |                 sure                |
      |___________________________|___________________________|_____________________________________|
      |   in   |   out  |  inout  |   in   |   out  |  inout  |     in     |     out    |   inout   |
______|________|________|_________|________|________|_________|____________|____________|___________|
    0 |  67.63 |  69.74 |  43.92  |  -1.00 |  -1.00 |  -1.00  |    32.37   |    30.26   |    56.08  |
    5 | 100.00 | 100.00 |  -1.00  |  -1.00 |  -1.00 |  -1.00  |     0.00   |     0.00   |    -1.00  |
  402 |  60.00 | 100.00 |  -1.00  |  -1.00 |  -1.00 |  -1.00  |    40.00   |     0.00   |    -1.00  |
  404 |  32.40 |  48.81 |  36.59  | 100.00 | 100.00 |  -1.00  |    67.60   |    51.19   |    63.41  |
  412 |  40.00 |  25.00 |  -1.00  | 100.00 | 100.00 |  -1.00  |    60.00   |    75.00   |    -1.00  |
  425 |  30.00 |  40.00 | 100.00  |  -1.00 |  -1.00 |  -1.00  |    70.00   |    60.00   |     0.00  |
  435 |  25.44 |  30.21 |  76.92  | 100.00 | 100.00 | 100.00  |    74.56   |    69.79   |    23.08  |
  446 |  29.29 |  25.61 |  40.00  | 100.00 | 100.00 | 100.00  |    70.71   |    74.39   |    60.00  |
  501 |  61.54 |  55.29 |  25.00  | 100.00 | 100.00 |  -1.00  |    38.46   |    44.71   |    75.00  |
  530 |  12.44 |  15.21 |   9.54  | 100.00 | 100.00 | 100.00  |    87.56   |    84.79   |    90.46  |
  534 |  44.90 |  43.75 |  68.00  |  -1.00 | 100.00 |  -1.00  |    55.10   |    56.25   |    32.00  |
  581 |  61.94 |  53.04 |  86.67  | 100.00 | 100.00 | 100.00  |    38.06   |    46.96   |    13.33  |
  598 |  75.00 |  57.14 |  -1.00  |  -1.00 | 100.00 |  -1.00  |    25.00   |    42.86   |    -1.00  |
  605 |  28.57 |  28.57 |  -1.00  | 100.00 | 100.00 |  -1.00  |    71.43   |    71.43   |    -1.00  |
  611 |   0.00 |   0.00 |   0.00  |  -1.00 |  -1.00 |  -1.00  |   100.00   |   100.00   |   100.00  |
  620 |  73.38 |  61.48 |  90.00  | 100.00 | 100.00 |  -1.00  |    26.62   |    38.52   |    10.00  |
  685 |  38.10 |  31.75 |  21.05  |  -1.00 |  -1.00 |  -1.00  |    61.90   |    68.25   |    78.95  |
  688 |   0.00 |   0.00 |  -1.00  |  -1.00 |  -1.00 |  -1.00  |   100.00   |   100.00   |    -1.00  |
  694 |   0.00 |   0.00 | 100.00  |  -1.00 | 100.00 |  -1.00  |   100.00   |   100.00   |     0.00  |
  697 |  79.42 |  57.09 |  91.07  | 100.00 | 100.00 | 100.00  |    20.58   |    42.91   |     8.93  |
  698 |   0.00 |  33.33 |   0.00  |  -1.00 |  -1.00 |  -1.00  |   100.00   |    66.67   |   100.00  |
  699 |  50.53 |  64.82 |  81.48  | 100.00 | 100.00 |  -1.00  |    49.47   |    35.18   |    18.52  |
  702 |  64.16 |  52.08 |  84.81  | 100.00 | 100.00 | 100.00  |    35.84   |    47.92   |    15.19  |
  708 |  25.37 |  33.50 |  35.25  | 100.00 | 100.00 | 100.00  |    74.63   |    66.50   |    64.75  |
  712 |  12.86 |  17.01 |   9.83  | 100.00 | 100.00 |  -1.00  |    87.14   |    82.99   |    90.17  |
  714 |  68.35 |  48.80 |  86.89  | 100.00 | 100.00 |  -1.00  |    31.65   |    51.20   |    13.11  |
  716 |   0.00 |  25.00 |  -1.00  |  -1.00 |  -1.00 |  -1.00  |   100.00   |    75.00   |    -1.00  |
  717 |  15.00 |   5.26 |   0.00  |  -1.00 | 100.00 |  -1.00  |    85.00   |    94.74   |   100.00  |
  719 |   5.98 |   8.37 |   3.46  | 100.00 | 100.00 | 100.00  |    94.02   |    91.63   |    96.54  |
  721 |  53.09 |  45.08 |  37.50  | 100.00 | 100.00 |  -1.00  |    46.91   |    54.92   |    62.50  |
  723 |   0.00 |   0.00 |  -1.00  |  -1.00 |  -1.00 |  -1.00  |   100.00   |   100.00   |    -1.00  |
  725 |  30.13 |  30.05 |  37.00  | 100.00 | 100.00 | 100.00  |    69.87   |    69.95   |    63.00  |
  726 |  61.28 |  45.08 |  82.35  | 100.00 | 100.00 | 100.00  |    38.72   |    54.92   |    17.65  |
  727 |  21.25 |  37.00 |  35.46  | 100.00 | 100.00 | 100.00  |    78.75   |    63.00   |    64.54  |
  729 |  12.32 |  31.60 |  22.28  | 100.00 | 100.00 | 100.00  |    87.68   |    68.40   |    77.72  |
  730 |  38.46 |  63.64 |  -1.00  |  -1.00 | 100.00 |  -1.00  |    61.54   |    36.36   |    -1.00  |
  731 |  24.83 |  39.22 |  32.26  | 100.00 | 100.00 | 100.00  |    75.17   |    60.78   |    67.74  |
  732 |  20.18 |  33.16 |  34.34  | 100.00 | 100.00 | 100.00  |    79.82   |    66.84   |    65.66  |
  733 |  33.33 | 100.00 | 100.00  |  -1.00 |  -1.00 |  -1.00  |    66.67   |     0.00   |     0.00  |
  736 |  10.59 |  24.57 |  21.95  | 100.00 | 100.00 |  -1.00  |    89.41   |    75.43   |    78.05  |
  747 |  12.00 |   8.00 |  16.67  | 100.00 | 100.00 |  -1.00  |    88.00   |    92.00   |    83.33  |
  751 | 100.00 |  50.00 |  -1.00  |  -1.00 |  -1.00 |  -1.00  |     0.00   |    50.00   |    -1.00  |
  753 |  41.94 |  39.29 |   0.00  | 100.00 | 100.00 |  -1.00  |    58.06   |    60.71   |   100.00  |
  754 |  21.75 |  44.19 |  40.54  | 100.00 | 100.00 | 100.00  |    78.25   |    55.81   |    59.46  |
  755 |  13.62 |  19.60 |  13.77  | 100.00 | 100.00 | 100.00  |    86.38   |    80.40   |    86.23  |
  756 |  33.33 |  33.33 |  -1.00  |  -1.00 |  -1.00 |  -1.00  |    66.67   |    66.67   |    -1.00  |
  761 |  24.17 |  35.70 |  26.30  | 100.00 | 100.00 |  -1.00  |    75.83   |    64.30   |    73.70  |
  763 |   0.00 |   0.00 |   0.00  | 100.00 | 100.00 |  -1.00  |   100.00   |   100.00   |   100.00  |
  804 |  21.22 |  28.12 |  25.21  | 100.00 | 100.00 | 100.00  |    78.78   |    71.88   |    74.79  |
  811 |  68.31 |  52.04 |  71.43  | 100.00 | 100.00 | 100.00  |    31.69   |    47.96   |    28.57  |
  812 |  17.25 |  22.82 |  21.88  | 100.00 | 100.00 | 100.00  |    82.75   |    77.18   |    78.12  |
  813 |  80.00 |  55.00 |  75.00  |  -1.00 |  -1.00 |  -1.00  |    20.00   |    45.00   |    25.00  |
  814 |  47.17 |  47.31 |  61.80  | 100.00 | 100.00 | 100.00  |    52.83   |    52.69   |    38.20  |
  816 |  33.35 |  50.76 |  57.53  | 100.00 | 100.00 | 100.00  |    66.65   |    49.24   |    42.47  |
  817 |  76.92 |  56.66 |  87.50  | 100.00 | 100.00 | 100.00  |    23.08   |    43.34   |    12.50  |
  818 |  63.45 |  57.21 |  87.30  | 100.00 | 100.00 | 100.00  |    36.55   |    42.79   |    12.70  |
