ID;total activity in sure;total activity in possible;total activity out sure;total activity out possible;total activity inout sure;total activity inout possible;SHA in sure percent;SHA in sure number;SHA out sure percent;SHA out sure number;SHA inout sure percent;SHA inout sure number;SHA not taken in sure percent;SHA not taken in sure number;SHA not taken out sure percent;SHA not taken out sure number;SHA not taken inout sure percent;SHA not taken inout sure number;SHA in possible number;SHA out possible number;SHA inout possible number;IN_NO_ALARM percent;IN_NO_ALARM number;IN_AFTER_ALARM percent;IN_AFTER_ALARM number;IN_DURING_ALARM percent;IN_DURING_ALARM number;IN_POSSIBLE_NO_ALARM percent;IN_POSSIBLE_NO_ALARM number;IN_POSSIBLE_AFTER_ALARM percent;IN_POSSIBLE_AFTER_ALARM number;IN_POSSIBLE_DURING_ALARM percent;IN_POSSIBLE_DURING_ALARM number;NOT_IN_NO_ALARM percent;NOT_IN_NO_ALARM number;NOT_IN_ALARM percent;NOT_IN_ALARM number;IN_WEIRD_SUR percent;IN_WEIRD_SUR number;IN_WEIRD_POSSIBLE percent;IN_WEIRD_POSSIBLE number;IN_IMPOSSIBLE_SUR percent;IN_IMPOSSIBLE_SUR number;OUT_NO_ALARM percent;OUT_NO_ALARM number;OUT_AFTER_ALARM percent;OUT_AFTER_ALARM number;OUT_DURING_ALARM percent;OUT_DURING_ALARM number;OUT_POSSIBLE_NO_ALARM percent;OUT_POSSIBLE_NO_ALARM number;OUT_POSSIBLE_AFTER_ALARM percent;OUT_POSSIBLE_AFTER_ALARM number;OUT_POSSIBLE_DURING_ALARM percent;OUT_POSSIBLE_DURING_ALARM number;NOT_OUT_NO_ALARM percent;NOT_OUT_NO_ALARM number;NOT_OUT_ALARM percent;NOT_OUT_ALARM number;OUT_WEIRD_SUR percent;OUT_WEIRD_SUR number;OUT_WEIRD_POSSIBLE percent;OUT_WEIRD_POSSIBLE number;OUT_IMPOSSIBLE_SUR percent;OUT_IMPOSSIBLE_SUR number;INOUT_NO_ALARM percent;INOUT_NO_ALARM number;INOUT_AFTER_ALARM percent;INOUT_AFTER_ALARM number;INOUT_DURING_ALARM percent;INOUT_DURING_ALARM number;INOUT_POSSIBLE_NO_ALARM percent;INOUT_POSSIBLE_NO_ALARM number;INOUT_POSSIBLE_AFTER_ALARM percent;INOUT_POSSIBLE_AFTER_ALARM number;INOUT_POSSIBLE_DURING_ALARM percent;INOUT_POSSIBLE_DURING_ALARM number;NOT_INOUT_NO_ALARM percent;NOT_INOUT_NO_ALARM number;NOT_INOUT_ALARM percent;NOT_INOUT_ALARM number;INOUT_WEIRD_SUR percent;INOUT_WEIRD_SUR number;INOUT_WEIRD_POSSIBLE percent;INOUT_WEIRD_POSSIBLE number;INOUT_IMPOSSIBLE_SUR percent;INOUT_IMPOSSIBLE_SUR number
0;0;0;0;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
5;1;0;1;0;0;0;100.00;1;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0;0;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
402;5;0;5;0;0;0;40.00;2;40.00;2;0.00;0;60.00;3;60.00;3;0.00;0;0;0;0;50.00;1;50.00;1;0.00;0;0.00;0;0.00;0;0.00;0;66.67;2;33.33;1;0.00;0;0.00;0;0.00;0;100.00;2;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;100.00;3;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
404;602;3;587;18;77;0;16.11;97;25.38;149;19.48;15;81.06;488;68.82;404;80.52;62;3;9;0;70.10;68;29.90;29;0.00;0;0.00;0;100.00;3;0.00;0;44.06;215;55.94;273;0.03;17;0.00;0;0.00;0;83.22;124;16.78;25;0.00;0;100.00;9;0.00;0;0.00;0;48.51;196;51.49;208;0.06;34;0.50;9;0.00;0;86.67;13;13.33;2;0.00;0;0.00;0;0.00;0;0.00;0;67.74;42;32.26;20;0.00;0;0.00;0;0.00;0
412;5;1;4;2;0;0;0.00;0;0.00;0;0.00;0;80.00;4;100.00;4;0.00;0;0;1;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;50.00;2;50.00;2;0.20;1;1.00;1;0.00;0;0.00;0;0.00;0;0.00;0;100.00;1;0.00;0;0.00;0;100.00;4;0.00;0;0.00;0;0.50;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
425;10;0;10;0;3;0;0.00;0;30.00;3;100.00;3;100.00;10;70.00;7;0.00;0;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;50.00;5;50.00;5;0.00;0;0.00;0;0.00;0;66.67;2;33.33;1;0.00;0;0.00;0;0.00;0;0.00;0;42.86;3;57.14;4;0.00;0;0.00;0;0.00;0;100.00;3;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0
435;115;15;95;35;12;0;17.39;20;26.32;25;66.67;8;82.61;95;71.58;68;33.33;4;9;31;0;100.00;20;0.00;0;0.00;0;77.78;7;22.22;2;0.00;0;71.58;68;28.42;27;0.00;0;0.40;6;0.00;0;100.00;25;0.00;0;0.00;0;87.10;27;3.23;1;9.68;3;69.12;47;30.88;21;0.02;2;0.11;4;0.00;0;100.00;8;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;25.00;1;75.00;3;0.00;0;0.00;0;0.00;0
446;101;15;83;33;15;0;20.79;21;21.69;18;40.00;6;78.22;79;80.72;67;60.00;9;9;30;0;85.71;18;14.29;3;0.00;0;55.56;5;44.44;4;0.00;0;72.15;57;27.85;22;0.06;6;0.40;6;0.00;0;77.78;14;11.11;2;11.11;2;86.67;26;3.33;1;10.00;3;52.24;35;47.76;32;0.04;3;0.09;3;0.00;0;100.00;6;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;44.44;4;55.56;5;0.00;0;0.00;0;0.00;0
501;91;1;85;7;12;0;46.15;42;35.29;30;8.33;1;53.85;49;62.35;53;91.67;11;0;5;0;97.62;41;2.38;1;0.00;0;0.00;0;0.00;0;0.00;0;93.88;46;6.12;3;0.00;0;1.00;1;0.00;0;70.00;21;30.00;9;0.00;0;100.00;5;0.00;0;0.00;0;92.45;49;7.55;4;0.02;2;0.29;2;0.00;0;100.00;1;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;81.82;9;18.18;2;0.00;0;0.00;0;0.00;0
530;9264;234;8896;602;1296;6;4.45;412;7.25;645;5.86;76;94.65;8768;91.66;8154;93.90;1217;170;469;5;67.48;278;32.04;132;0.49;2;16.47;28;82.35;140;1.18;2;46.32;4061;53.68;4707;0.01;82;0.28;66;0.00;0;76.28;492;23.41;151;0.31;2;67.59;317;31.34;147;1.07;5;46.64;3803;53.36;4351;0.01;97;0.22;133;0.00;0;89.47;68;10.53;8;0.00;0;40.00;2;60.00;3;0.00;0;45.44;553;54.56;664;0.00;3;0.17;1;0.00;0
534;49;0;48;1;25;0;24.49;12;22.92;11;52.00;13;71.43;35;60.42;29;40.00;10;0;0;0;91.67;11;8.33;1;0.00;0;0.00;0;0.00;0;0.00;0;68.57;24;31.43;11;0.04;2;0.00;0;0.00;0;90.91;10;9.09;1;0.00;0;0.00;0;0.00;0;0.00;0;37.93;11;62.07;18;0.17;8;1.00;1;0.00;0;100.00;13;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;70.00;7;30.00;3;0.08;2;0.00;0;0.00;0
581;132;4;114;22;15;1;45.45;60;43.86;50;33.33;5;53.03;70;52.63;60;66.67;10;4;17;0;91.67;55;8.33;5;0.00;0;100.00;4;0.00;0;0.00;0;62.86;44;37.14;26;0.02;2;0.00;0;0.00;0;90.00;45;10.00;5;0.00;0;82.35;14;17.65;3;0.00;0;58.33;35;41.67;25;0.04;4;0.23;5;0.00;0;100.00;5;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;40.00;4;60.00;6;0.00;0;1.00;1;0.00;0
